"id"	"location.id"	"x"	"y"	"period"	"col.date"	"date"	"col.time"	"time"	"depth.cat"	"depth"	"swp"	"swc"
643	144	401	279	"apr.2015"	42104	"4/10/2015"	0.404167	"9:42"	"shallow"	16	0	30.70103655
644	144	401	279	"mar.2016"	42445	"3/16/2016"	0.472916667	"11:21"	"shallow"	15	-0.75	23.09350579
645	145	382.5	302.5	"feb.2015"	42059	"2/24/2015"	0.571528	"13:43"	"shallow"	16	0	31.32680845
646	145	382.5	302.5	"mar.2015"	42090	"3/27/2015"	0.465278	"11:10"	"shallow"	17	-0.8	33.68689688
647	145	382.5	302.5	"apr.2015"	42100	"4/6/2015"	0.485417	"11:39"	"shallow"	15	-0.84	29.97627777
648	145	382.5	302.5	"mar.2016"	42445	"3/16/2016"	0.475694444	"11:25"	"shallow"	14.5	-1.11	30.37037037
649	146	408.5	309	"feb.2015"	42061	"2/26/2015"	0.434722	"10:26"	"shallow"	17	-0.27	36.195849
650	146	408.5	309	"mar.2015"	42090	"3/27/2015"	0.461806	"11:05"	"shallow"	16	-0.57	27.8844211
651	146	408.5	309	"apr.2015"	42104	"4/10/2015"	0.397222	"9:32"	"shallow"	16	-0.25	30.55258658
652	146	408.5	309	"apr.2015"	42104	"4/10/2015"	0.400694	"9:37"	"middle"	40	-0.2	30.87276935
653	146	408.5	309	"mar.2016"	42444	"3/15/2016"	0.5	"12:00"	"shallow"	15	-0.16	28.23127014
654	146	408.5	309	"mar.2016"	42444	"3/15/2016"	0.5	"12:00"	"middle"	40	-0.91	28.81881623
655	147	391	327.5	"feb.2015"	42059	"2/24/2015"	0.565278	"13:34"	"shallow"	15	-0.01	38.61803863
656	147	391	327.5	"mar.2015"	42090	"3/27/2015"	0.459028	"11:01"	"shallow"	17	-0.6	31.53536258
657	147	391	327.5	"apr.2015"	42104	"4/10/2015"	0.393056	"9:26"	"shallow"	15	-0.22	30.53195976
658	147	391	327.5	"mar.2016"	42443	"3/14/2016"	0.522916667	"12:33"	"shallow"	17	-0.81	31.5293459
659	148	409	337	"feb.2015"	42059	"2/24/2015"	0.561111	"13:28"	"shallow"	16	-0.34	36.93986978
660	148	409	337	"mar.2015"	42090	"3/27/2015"	0.454861	"10:55"	"shallow"	14	-0.66	32.11558308
661	148	409	337	"apr.2015"	42104	"4/10/2015"	0.390278	"9:22"	"shallow"	17	0	34.23096103
662	148	409	337	"mar.2016"	42445	"3/16/2016"	0.479166667	"11:30"	"shallow"	15.5	-0.32	31.4254062
663	149	392.5	347	"feb.2015"	42062	"2/27/2015"	0.503472	"12:05"	"shallow"	16	-0.14	35.05966587
664	149	392.5	347	"mar.2015"	42090	"3/27/2015"	0.452083	"10:51"	"shallow"	16	-0.74	30.48207208
665	149	392.5	347	"apr.2015"	42104	"4/10/2015"	0.384028	"9:13"	"shallow"	15	-0.16	29.83226837
666	149	392.5	347	"mar.2016"	42444	"3/15/2016"	0.502777778	"12:04"	"shallow"	16	-0.98	33.22686464
667	150	408	363	"feb.2015"	42058	"2/23/2015"	0.504167	"12:06"	"shallow"	16	-0.11	47.18866171
668	150	408	363	"mar.2015"	42086	"3/23/2015"	0.478472	"11:29"	"shallow"	15	-0.75	34.57636169
669	150	408	363	"apr.2015"	42100	"4/6/2015"	0.488889	"11:44"	"shallow"	15	-0.73	30.39901591
670	150	408	363	"mar.2016"	42443	"3/14/2016"	0.513888889	"12:20"	"shallow"	15	-0.67	30.17816264
671	151	393.5	366	"feb.2015"	42059	"2/24/2015"	0.556944	"13:22"	"shallow"	16	-0.04	39.12757974
672	151	393.5	366	"mar.2015"	42090	"3/27/2015"	0.448611	"10:46"	"shallow"	14	-0.61	29.51030928
673	151	393.5	366	"apr.2015"	42104	"4/10/2015"	0.379167	"9:06"	"shallow"	17	-0.32	29.37654562
674	151	393.5	366	"apr.2015"	42104	"4/10/2015"	0.381944	"9:10"	"middle"	39	-0.31	30.74788197
675	151	393.5	366	"mar.2016"	42444	"3/15/2016"	0.506944444	"12:10"	"shallow"	16	-1.57	30.31910862
676	151	393.5	366	"mar.2016"	42444	"3/15/2016"	0.506944444	"12:10"	"middle"	40.5	-0.52	30.26215322
677	151.5	392.5	377	"apr.2015"	42109	"4/15/2015"	0.509028	"12:13"	"shallow"	16	-0.58	NA
678	152	636	496	"feb.2015"	42062	"2/27/2015"	0.465278	"11:10"	"shallow"	14	-0.18	38.1699662
679	152	636	496	"mar.2015"	42087	"3/24/2015"	0.371528	"8:55"	"shallow"	16	-0.44	33.79337854
680	152	636	496	"apr.2015"	42101	"4/7/2015"	0.372222	"8:56"	"shallow"	15	-0.27	32.83385643
681	152	636	496	"mar.2016"	42443	"3/14/2016"	0.375	"9:00"	"shallow"	14.8	-0.34	32.45331616
682	153	632.5	472.5	"feb.2015"	42061	"2/26/2015"	0.377083	"9:03"	"shallow"	15	-0.24	34.86701611
683	153	632.5	472.5	"mar.2015"	42087	"3/24/2015"	0.375	"9:00"	"shallow"	15	-0.4	32.41596947
684	153	632.5	472.5	"apr.2015"	42101	"4/7/2015"	0.392361	"9:25"	"shallow"	15	-0.15	32.60061523
685	153	632.5	472.5	"mar.2016"	42443	"3/14/2016"	0.378472222	"9:05"	"shallow"	15	-0.58	31.73494724
686	154	612	483	"feb.2015"	42062	"2/27/2015"	0.468056	"11:14"	"shallow"	16	-0.3	39.56023304
687	154	612	483	"mar.2015"	42087	"3/24/2015"	0.379861	"9:07"	"shallow"	13	-1	33.3294447
688	154	612	483	"apr.2015"	42101	"4/7/2015"	0.395833	"9:30"	"shallow"	13	-0.36	32.72134132
689	154	612	483	"mar.2016"	42445	"3/16/2016"	0.526388889	"12:38"	"shallow"	16	-0.6	30.42375032
690	155	610	468.5	"feb.2015"	42058	"2/23/2015"	0.560417	"13:27"	"shallow"	16	-0.05	36.95696512
691	155	610	468.5	"mar.2015"	42086	"3/23/2015"	0.536111	"12:52"	"shallow"	15	-0.21	34.36363636
692	155	610	468.5	"apr.2015"	42100	"4/6/2015"	0.538194	"12:55"	"shallow"	15	-0.49	33.95012068
693	155	610	468.5	"mar.2016"	42444	"3/15/2016"	0.588888889	"14:08"	"shallow"	15.5	-1.1	32.03309693
694	156	584	475	"feb.2015"	42061	"2/26/2015"	0.382639	"9:11"	"shallow"	17	-0.02	36.2735995
695	156	584	475	"mar.2015"	42087	"3/24/2015"	0.402778	"9:40"	"shallow"	15	-0.45	32.82528642
696	156	584	475	"apr.2015"	42101	"4/7/2015"	0.398611	"9:34"	"shallow"	15	-0.18	33.31693519
697	156	584	475	"mar.2016"	42443	"3/14/2016"	0.384027778	"9:13"	"shallow"	15	-0.49	31.78082192
698	157	575	458.5	"feb.2015"	42061	"2/26/2015"	0.379167	"9:06"	"shallow"	15	-0.38	34.03704854
699	157	575	458.5	"mar.2015"	42087	"3/24/2015"	0.40625	"9:45"	"shallow"	16	-0.71	31.51654725
700	157	575	458.5	"apr.2015"	42101	"4/7/2015"	0.461806	"11:05"	"shallow"	13	-0.27	31.88786684
701	157	575	458.5	"apr.2015"	42101	"4/7/2015"	0.465278	"11:10"	"middle"	35	-0.47	31.43020087
702	157	575	458.5	"mar.2016"	42444	"3/15/2016"	0.582638889	"13:59"	"shallow"	14.5	-0.45	34.64829257
703	157	575	458.5	"mar.2016"	42444	"3/15/2016"	0.575694444	"13:49"	"middle"	40.5	-0.23	33.01455017
704	158	559	468	"feb.2015"	42061	"2/26/2015"	0.382639	"9:11"	"shallow"	15	-0.26	35.34457831
705	158	559	468	"mar.2015"	42087	"3/24/2015"	0.429861	"10:19"	"shallow"	16	-0.28	32.5565823
706	158	559	468	"apr.2015"	42100	"4/6/2015"	0.534722	"12:50"	"shallow"	15	-1.05	30.58510638
707	158	559	468	"mar.2016"	42443	"3/14/2016"	0.388888889	"9:20"	"shallow"	15	-0.2	32.22131814
708	159	553	450	"feb.2015"	42059	"2/24/2015"	0.463194	"11:07"	"shallow"	15	-0.19	36.43960228
709	159	553	450	"mar.2015"	42087	"3/24/2015"	0.4375	"10:30"	"shallow"	15	-0.39	33.66555925
710	159	553	450	"apr.2015"	42101	"4/7/2015"	0.467361	"11:13"	"shallow"	16	-0.68	35.58542931
711	159	553	450	"mar.2016"	42445	"3/16/2016"	0.521527778	"12:31"	"shallow"	15	-1.1	33.49084465
712	160	530	457	"feb.2015"	42061	"2/26/2015"	0.385417	"9:15"	"shallow"	16	-0.1	37.93201671
713	160	530	457	"mar.2015"	42086	"3/23/2015"	0.534028	"12:49"	"shallow"	17	-0.36	37.16997015
714	160	530	457	"apr.2015"	42100	"4/6/2015"	0.532639	"12:47"	"shallow"	15	-0.34	36.07549214
