Date,Location,Species,Gasex_typeOrSequence,Barcode,LWP_coll_time,LWP_time,LWP_bar,LWP_comment,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 4,BNL11278,14:05,16:08,22.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 4,BNL11271,14:05,15:40,24.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 4,BNL11277,14:05,15:38,17.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 4,BNL11291,14:05,15:36,21.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 5,BNL11149,16:00,17:23,26.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 5,BNL11169,16:00,17:18,16.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 5,BNL11260,16:00,17:26,22.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 5,BNL11053,16:00,17:10,11.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 5,BNL11056,16:00,17:07,13.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 5,BNL11286,16:00,17:05,10.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 5,BNL11002,16:00,17:33,19.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 5,BNL11150,16:00,17:30,18.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 5,BNL11258,16:00,17:36,19.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 5,BNL11097,16:00,17:39,20.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 5,BNL11134,16:00,17:41,18.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 5,BNL11285,16:00,17:44,18.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 5,BNL11057,16:00,17:12,16.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 5,BNL11061,16:00,17:14,18.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 5,BNL11235,16:00,17:16,20.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 6,BNL11113,18:00,19:12,14.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 6,BNL11120,18:00,19:15,22.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Diurnal 6,BNL11243,18:00,19:18,23.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 6,BNL11096,18:00,18:49,8.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 6,BNL11245,18:00,18:47,8.5,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Diurnal 6,BNL11275,18:00,18:52,8.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 6,BNL11236,18:00,19:00,14.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 6,BNL11239,18:00,19:02,15.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Diurnal 6,BNL11246,18:00,18:57,15.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 6,BNL11111,18:00,19:22,19.0,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 6,BNL11112,18:00,19:20,16.5,-9999,,,
2016-03-12,PA-BCI,MICOAR,Diurnal 6,BNL11241,18:00,19:25,16.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 6,BNL11136,18:00,19:07,15.0,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 6,BNL11240,18:00,19:05,14.5,-9999,,,
2016-03-12,PA-BCI,SIMAAM,Diurnal 6,BNL11244,18:00,19:09,13.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Pre-dawn LWP,BNL11259,06:00,07:34,12.0,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Pre-dawn LWP,BNL11402,06:00,07:31,10.5,-9999,,,
2016-03-12,PA-BCI,ALSEBL,Pre-dawn LWP,BNL11497,06:00,07:41,15.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Pre-dawn LWP,BNL11251,06:00,08:05,11.5,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Pre-dawn LWP,BNL11422,06:00,08:01,10.0,-9999,,,
2016-03-12,PA-BCI,GUSTSU,Pre-dawn LWP,BNL11489,06:00,08:03,12.0,-9999,,,
2016-03-12,PA-BCI,INGAPE,Pre-dawn LWP,BNL11234,06:00,07:50,10.0,-9999,,,
